primary_type,description,arrest,domestic,beat,district,ward,community_area,year,latitude,longitude,hour,day_of_week,month,season,is_weekend,is_holiday,time_of_day,Is_STR,Is_OTH_STR,loc_desc_cat,pct_housing_crowded,pct_households_below_poverty,pct_age16_unemployed,pct_age25_nohighschool,pct_not_working_age,per_capita_income,hardship_index,population,pop_density,distance_to_police_station,distance_to_park,distance_to_school,distance_to_vacant_building,distance_to_library,crime_category
THEFT,FROM BUILDING,False,False,1925,19.0,46.0,6.0,2020,41.951950569,-87.646628367,9,0,4,2,0,0,Morning,True,False,Residential_Areas,1.1,11.4,4.7,2.6,17.0,60058,5.0,103050.0,33028.85,0.0066748452069111,0.0027868325744245,0.0044365815695777,0.0367330500769438,0.0099327194123476,non-violent_crime
BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,False,True,411,4.0,8.0,45.0,2018,41.747722191,-87.596890105,19,2,8,3,0,0,Night,True,False,Residential_Areas,1.4,17.2,21.1,10.6,39.3,24454,41.0,9458.0,7566.4,0.0206996435213885,0.0020543777383391,0.0053005021861692,0.0020254513653052,0.0109655870066827,violent_crime
BURGLARY,UNLAWFUL ENTRY,False,False,511,5.0,9.0,49.0,2019,41.711908938,-87.61510243,0,4,2,1,0,0,Early Morning,False,True,Residential_Areas,2.5,19.8,20.3,16.9,41.2,17949,52.0,38816.0,8053.11,0.0219174242790419,0.0094430306535641,0.0027007680527995,0.005390406538499,0.0091108130248938,non-violent_crime
BATTERY,SIMPLE,False,False,1012,10.0,24.0,29.0,2023,41.851472218,-87.730014078,15,5,3,2,1,0,Noon,False,True,Outdoor_And_Public_Spaces,7.4,43.1,21.2,27.6,42.7,12034,87.0,34794.0,10839.25,0.0222512185183484,0.0088666420513192,0.005400835636617,0.0065154186442715,0.0108158947826139,violent_crime
THEFT,OVER $500,False,False,912,9.0,12.0,59.0,2024,41.828119219,-87.672782303,0,5,5,2,1,0,Early Morning,False,True,Residential_Areas,7.2,18.7,13.4,32.9,35.6,16954,61.0,15923.0,11292.91,0.0279579808822132,0.0041664685909977,0.0020360178754464,0.0004373989701577,0.0022937525137357,non-violent_crime
WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,False,False,815,8.0,23.0,57.0,2022,41.797722418,-87.736764043,1,6,5,2,1,0,Early Morning,False,True,Outdoor_And_Public_Spaces,8.5,14.1,16.5,35.9,39.2,16134,67.0,14196.0,7062.69,0.033607011346756,0.0051217038659935,0.0115948982798252,0.0042069187846376,0.0108234359489348,violent_crime
THEFT,FROM BUILDING,False,False,612,6.0,17.0,71.0,2019,41.751484728,-87.661852377,15,3,8,3,0,0,Noon,True,False,Residential_Areas,4.0,27.6,28.3,18.5,41.9,15528,74.0,44878.0,11903.98,0.0176355277539652,0.0056137225182235,0.0065479337712055,0.0027331315418691,0.0097458996214425,non-violent_crime
DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,False,False,2233,22.0,21.0,49.0,2024,41.689875043,-87.641089808,12,5,5,2,1,0,Noon,False,True,Other_Unclassified,2.5,19.8,20.3,16.9,41.2,17949,52.0,38816.0,8053.11,0.0274748905069257,0.0100848377253623,0.0034820626642431,0.0023635566179,0.0121477138503668,non-violent_crime
BURGLARY,FORCIBLE ENTRY,False,False,914,9.0,25.0,34.0,2021,41.852159159,-87.632978143,2,5,12,1,1,0,Early Morning,False,True,Commercial_Areas,5.7,40.1,16.7,34.5,38.3,16148,82.0,13890.0,13890.0,0.008379337993214,0.0041715361551214,0.0023699257054826,0.0171388616896145,0.0022110303003962,non-violent_crime
CRIMINAL DAMAGE,TO PROPERTY,False,False,1024,10.0,22.0,30.0,2022,41.850669364,-87.71374702,23,3,7,3,0,0,Night,False,True,Residential_Areas,15.2,30.7,15.8,54.8,33.8,10402,96.0,71399.0,15555.34,0.0080601545153451,0.0026345747639171,0.002346689307728,0.0039488991746081,0.0087723036636958,non-violent_crime
